locus_tag,gene,product,strand,prom_start,prom_end,prom_length,gc_content
Rv2338c,moeW,molybdopterin biosynthesis protein MoeW,-,2614063,2614363,300,0.5733333333333334
Rv2339,mmpL9,transmembrane transport protein MmpL9,+,2614392,2614692,300,0.6233333333333333
Rv2340c,PE_PGRS39,PE-PGRS family protein PE_PGRS39,-,2618908,2619208,300,0.6366666666666667
Rv2341,lppQ,lipoprotein LppQ,+,2619296,2619596,300,0.6233333333333333
Rv2342,,hypothetical protein,+,2620016,2620271,255,0.6
Rv2344c,dgt,deoxyguanosine triphosphate triphosphohydrolase,-,2623752,2623820,68,0.6617647058823529
Rv2345,,transmembrane protein,+,2623752,2623820,68,0.6617647058823529
Rv2346c,esxO,ESAT-6 like protein EsxO,-,2626172,2626222,50,0.52
Rv2347c,esxP,ESAT-6 like protein EsxP,-,2626519,2626653,134,0.5447761194029851
Rv2348c,,hypothetical protein,-,2626980,2627171,191,0.5706806282722513
Rv2349c,plcC,phospholipase C,-,2628698,2628780,82,0.6341463414634146
Rv2350c,plcB,membrane-associated phospholipase B,-,2630319,2630536,217,0.6497695852534562
Rv2351c,plcA,membrane-associated phospholipase A,-,2632075,2632375,300,0.5866666666666667
Rv2352c,PPE38,PPE family protein PPE38,-,2634098,2634398,300,0.6
Rv2353c,PPE39,PPE family protein PPE39,-,2635592,2635892,300,0.6566666666666666
Rv2357c,glyS,glycine--tRNA ligase,-,2641064,2641245,181,0.5580110497237569
Rv2358,smtB,HTH-type transcriptional regulator SmtB,+,2641064,2641245,181,0.5580110497237569
Rv2362c,recO,DNA repair protein RecO,-,2644258,2644319,61,0.6065573770491803
Rv2363,amiA2,amidase,+,2644258,2644319,61,0.6065573770491803
Rv2364c,era,GTPase Era,-,2646673,2646746,73,0.589041095890411
Rv2368c,phoH1,phosphate starvation-inducible protein PhoH,-,2649974,2650244,270,0.6407407407407407
Rv2370c,,hypothetical protein,-,2651558,2651752,194,0.5979381443298969
Rv2371,PE_PGRS40,PE-PGRS family protein PE_PGRS40,+,2651558,2651752,194,0.5979381443298969
Rv2373c,dnaJ2,chaperone protein DnaJ,-,2653987,2654061,74,0.5675675675675675
Rv2374c,hrcA,heat-inducible transcription repressor HrcA,-,2655093,2655264,171,0.6081871345029239
Rv2375,,hypothetical protein,+,2655093,2655264,171,0.6081871345029239
Rv2376c,cfp2,low molecular weight antigen MTB12,-,2656115,2656214,99,0.5858585858585859
Rv2380c,mbtE,peptide synthetase,-,2667115,2667254,139,0.7338129496402878
Rv2383c,mbtB,phenyloxazoline synthase,-,2675837,2675935,98,0.5612244897959183
Rv2384,mbtA,"2,3-dihydroxybenzoate-AMP ligase",+,2675837,2675935,98,0.5612244897959183
Rv2385,mbtJ,acetyl hydrolase,+,2677633,2677728,95,0.6210526315789474
Rv2386c,mbtI,salicylate synthase,-,2680005,2680305,300,0.6
Rv2386a,,hypothetical protein,+,2680157,2680457,300,0.59
Rv2387,,hypothetical protein,+,2680667,2680764,97,0.6082474226804123
Rv2388c,hemN,oxygen-independent coproporphyrinogen III oxidase,-,2683142,2683247,105,0.6190476190476191
Rv2390c,,hypothetical protein,-,2684266,2684566,300,0.57
Rv2391,sirA,sulfite reductase,+,2684378,2684678,300,0.63
Rv2395,,integral membrane protein,+,2689941,2690071,130,0.6461538461538462
Rv2395A,aprA,acid and phagosome regulated protein AprA,+,2692075,2692223,148,0.6486486486486487
Rv2395B,aprB,acid and phagosome regulated protein AprB,+,2692439,2692550,111,0.7207207207207207
Rv2396,PE_PGRS41,acid and phagosome regulated protein AprC,+,2692715,2692798,83,0.5783132530120482
Rv2401A,,membrane protein,-,2698245,2698528,283,0.6643109540636042
Rv2402,,trehalase,+,2698245,2698528,283,0.6643109540636042
Rv2406c,,hypothetical protein,-,2704437,2704696,259,0.6602316602316602
Rv2407,,ribonuclease Z,+,2704437,2704696,259,0.6602316602316602
Rv2408,PE24,PE family protein PE24,+,2705518,2705761,243,0.6790123456790124
Rv2411c,,hypothetical protein,-,2709965,2710074,109,0.5321100917431193
Rv2412,rpsT,30S ribosomal protein S20,+,2709965,2710074,109,0.5321100917431193
Rv2415c,,hypothetical protein,-,2713784,2714084,300,0.6933333333333334
Rv2416c,eis,enhanced intracellular survival protein,-,2715332,2715471,139,0.5971223021582733
Rv2417c,,DegV domain-containing protein,-,2716314,2716394,80,0.75
Rv2421c,nadD,nicotinate-nucleotide adenylyltransferase,-,2718808,2719082,274,0.6313868613138686
Rv2422,,hypothetical protein,+,2718808,2719082,274,0.6313868613138686
Rv2423,,hypothetical protein,+,2719355,2719596,241,0.6721991701244814
Rv2424c,,transposase,-,2721777,2721865,88,0.6477272727272727
Rv2427c,proA,gamma-glutamyl phosphate reductase,-,2725477,2725777,300,0.6733333333333333
Rv2428,ahpC,alkyl hydroperoxide reductase subunit AhpC,+,2725892,2726192,300,0.61
Rv2431c,PE25,PE family protein PE25,-,2728266,2728436,170,0.5647058823529412
Rv2432c,,hypothetical protein,-,2728847,2729114,267,0.6591760299625468
Rv2435c,,cyclase,-,2732749,2733049,300,0.6266666666666667
Rv2436,rbsK,ribokinase RbsK,+,2732929,2733229,300,0.5866666666666667
Rv2437,,transmembrane protein,+,2734144,2734375,231,0.6536796536796536
Rv2438c,nadE,glutamine-dependent NAD(+) synthetase,-,2736831,2737116,285,0.631578947368421
Rv2440c,obg,GTPase Obg,-,2739686,2739771,85,0.6470588235294118
Rv2442c,rplU,50S ribosomal protein L21,-,2740361,2740661,300,0.6766666666666666
Rv2443,dctA,C4-dicarboxylate-transport transmembrane protein DctA,+,2740408,2740708,300,0.6733333333333333
Rv2444c,rne,ribonuclease E,-,2744984,2745284,300,0.6333333333333333
Rv2448c,valS,valine--tRNA ligase,-,2750225,2750312,87,0.632183908045977
Rv2449c,,trans-acting enoyl reductase,-,2751572,2751661,89,0.5955056179775281
Rv2450c,rpfE,resuscitation-promoting factor RpfE,-,2752180,2752261,81,0.654320987654321
Rv2451,,hypothetical protein,+,2752180,2752261,81,0.654320987654321
Rv2455c,,2-oxoglutarate oxidoreductase subunit KorA,-,2756704,2756935,231,0.5974025974025974
Rv2457c,clpX,ATP-dependent CLP protease ATP-binding subunit ClpX,-,2759488,2759778,290,0.6551724137931034
Rv2458,mmuM,homocysteine S-methyltransferase MmuM,+,2759488,2759778,290,0.6551724137931034
Rv2459,,MFS-type transporter,+,2760687,2760853,166,0.5602409638554217
Rv2461c,clpP1,ATP-dependent CLP protease proteolytic subunit 1,-,2763774,2763890,116,0.5948275862068966
Rv2462c,tig,trigger factor,-,2765291,2765591,300,0.5966666666666667
Rv2463,lipP,esterase/lipase LipP,+,2765354,2765654,300,0.61
Rv2465c,rpiB,ribose-5-phosphate isomerase B,-,2768159,2768260,101,0.7029702970297029
Rv2466c,,hypothetical protein,-,2768884,2768985,101,0.693069306930693
Rv2467,pepN,aminopeptidase PepN,+,2768884,2768985,101,0.693069306930693
Rv2468c,,hypothetical protein,-,2772147,2772366,219,0.6210045662100456
Rv2469c,,hypothetical protein,-,2773035,2773177,142,0.6056338028169014
Rv2470,glbO,hemoglobin GlbO,+,2773035,2773177,142,0.6056338028169014
Rv2472,,hypothetical protein,+,2775204,2775271,67,0.5970149253731343
Rv2476c,gdh,NAD-dependent glutamate dehydrogenase,-,2782262,2782365,103,0.6310679611650486
Rv2477c,,macrolide ABC transporter ATP-binding protein,-,2784042,2784122,80,0.675
Rv2478c,,hypothetical protein,-,2784608,2784908,300,0.63
Rv2484c,,diacyglycerol O-acyltransferase,-,2792494,2792722,228,0.6578947368421053
Rv2485c,lipQ,carboxylesterase LipQ,-,2793988,2794288,300,0.5666666666666667
Rv2486,echA14,enoyl-CoA hydratase EchA14,+,2794049,2794349,300,0.57
Rv2487c,PE_PGRS42,PE-PGRS family protein PE_PGRS42,-,2797385,2797466,81,0.691358024691358
Rv2488c,,LuxR family transcriptional regulator,-,2800880,2801180,300,0.6733333333333333
Rv2489c,,hypothetical protein,-,2801145,2801253,108,0.6574074074074074
Rv2490c,PE_PGRS43,PE-PGRS family protein PE_PGRS43,-,2806236,2806322,86,0.6744186046511628
Rv2490a,,hypothetical protein,-,2806529,2806664,135,0.5925925925925926
Rv2491,,hypothetical protein,+,2806529,2806664,135,0.5925925925925926
Rv2493,vapB38,antitoxin VapB38,+,2808030,2808082,52,0.5961538461538461
Rv2497c,bkdA,3-methyl-2-oxobutanoate dehydrogenase subunit alpha,-,2812096,2812354,258,0.6434108527131783
Rv2504c,scoA,succinyl-CoA:3-ketoacid-CoA transferase subunit A,-,2819870,2819952,82,0.5121951219512195
Rv2505c,fadD35,fatty-acid--CoA ligase FadD35,-,2821596,2821711,115,0.5478260869565217
Rv2506,,TetR family transcriptional regulator,+,2821596,2821711,115,0.5478260869565217
Rv2507,,hypothetical protein,+,2822359,2822437,78,0.6923076923076923
Rv2508c,,integral membrane protein,-,2824593,2824677,84,0.6666666666666666
Rv2509,,short-chain type dehydrogenase/reductase,+,2824593,2824677,84,0.6666666666666666
Rv2510c,,hypothetical protein,-,2827089,2827156,67,0.6716417910447762
Rv2511,orn,oligoribonuclease,+,2827089,2827156,67,0.6716417910447762
Rv2512c,,insertion sequence element IS1081 transposase,-,2829803,2829953,150,0.58
Rv2512a,,hypothetical protein,+,2829803,2829953,150,0.58
Rv2515c,,hypothetical protein,-,2832591,2832709,118,0.6610169491525424
Rv2516c,,hypothetical protein,-,2833513,2833813,300,0.5833333333333334
Rv2517c,,hypothetical protein,-,2833761,2834061,300,0.59
Rv2518c,ldtB,"L,D-transpeptidase LdtB",-,2835335,2835635,300,0.5866666666666667
Rv2519,PE26,PE family protein PE26,+,2835484,2835784,300,0.5933333333333334
Rv2520c,,membrane protein,-,2837615,2837683,68,0.6470588235294118
Rv2521,bcp,peroxiredoxin,+,2837615,2837683,68,0.6470588235294118
Rv2523c,acpS,holo-ACP synthase,-,2839930,2840122,192,0.7135416666666666
Rv2524c,fas,fatty acid synthase,-,2849332,2849632,300,0.6133333333333333
Rv2525c,,hypothetical protein,-,2850574,2850874,300,0.5866666666666667
Rv2526,vapB17,antitoxin VapB17,+,2850790,2851090,300,0.6133333333333333
Rv2527,vapC17,ribonuclease VapC17,+,2851014,2851314,300,0.66
Rv2528c,mrr,restriction system protein,-,2852671,2852874,203,0.6403940886699507
Rv2529,,hypothetical protein,+,2852671,2852874,203,0.6403940886699507
Rv2530c,vapC39,ribonuclease VapC39,-,2854686,2854937,251,0.5856573705179283
Rv2531c,,amino acid decarboxylase,-,2857781,2857852,71,0.6338028169014085
Rv2542,,hypothetical protein,+,2864834,2865129,295,0.7627118644067796
Rv2543,lppA,lipoprotein LppA,+,2866341,2866467,126,0.6587301587301587
Rv2546,vapC18,ribonuclease VapC18,+,2868061,2868153,92,0.7608695652173914
Rv2548,vapC19,ribonuclease VapC19,+,2868567,2868859,292,0.6404109589041096
Rv2548A,,hypothetical protein,-,2869627,2869726,99,0.6666666666666666
Rv2549c,vapC20,ribonuclease VapC20,-,2870122,2870422,300,0.6
Rv2550c,vapB20,antitoxin VapB20,-,2870364,2870664,300,0.61
Rv2555c,alaS,alanine--tRNA ligase,-,2876485,2876575,90,0.5444444444444444
Rv2556c,,hypothetical protein,-,2876965,2877071,106,0.6509433962264151
Rv2557,,hypothetical protein,+,2876965,2877071,106,0.6509433962264151
Rv2558,,hypothetical protein,+,2877746,2877830,84,0.7619047619047619
Rv2559c,,hypothetical protein,-,2879929,2880074,145,0.5724137931034483
Rv2560,,hypothetical protein,+,2879929,2880074,145,0.5724137931034483
Rv2563,,glutamine ABC transporter permease,+,2881989,2882289,300,0.6333333333333333
Rv2565,,NTE family protein,+,2884334,2884610,276,0.6123188405797102
Rv2569c,,hypothetical protein,-,2894408,2894511,103,0.6213592233009708
Rv2570,,hypothetical protein,+,2894408,2894511,103,0.6213592233009708
Rv2571c,,transmembrane protein,-,2895960,2896012,52,0.5192307692307693
Rv2572c,aspS,aspartate--tRNA ligase,-,2897803,2898042,239,0.6359832635983264
Rv2573,,2-dehydropantoate 2-reductase,+,2897803,2898042,239,0.6359832635983264
Rv2576c,,membrane protein,-,2900690,2900917,227,0.6123348017621145
Rv2577,,hypothetical protein,+,2900690,2900917,227,0.6123348017621145
Rv2578c,,hypothetical protein,-,2903531,2903638,107,0.5514018691588785
Rv2579,dhaA,haloalkane dehalogenase,+,2903531,2903638,107,0.5514018691588785
Rv2581c,,glyoxalase II,-,2906763,2906813,50,0.74
Rv2582,ppiB,peptidyl-prolyl cis-trans isomerase B,+,2906763,2906813,50,0.74
Rv2584c,apt,adenine phosphoribosyltransferase,-,2910900,2911003,103,0.5825242718446602
Rv2587c,secD,protein translocase subunit SecD,-,2915736,2915845,109,0.6605504587155964
Rv2588c,yajC,membrane protein secretion factor YajC,-,2916193,2916359,166,0.6144578313253012
Rv2589,gabT,4-aminobutyrate aminotransferase,+,2916193,2916359,166,0.6144578313253012
Rv2590,fadD9,fatty-acid--CoA ligase FadD9,+,2917709,2917870,161,0.6149068322981367
Rv2591,PE_PGRS44,PE-PGRS family protein PE_PGRS44,+,2921377,2921550,173,0.6242774566473989
Rv2594c,ruvC,crossover junction endodeoxyribonuclease RuvC,-,2925383,2925491,108,0.5740740740740741
Rv2595,vapB40,antitoxin VapB40,+,2925383,2925491,108,0.5740740740740741
Rv2596,vapC40,ribonuclease VapC40,+,2925433,2925733,300,0.63
Rv2597,,membrane protein,+,2926138,2926354,216,0.6435185185185185
Rv2600,,integral membrane protein,+,2927908,2927989,81,0.5679012345679012
Rv2601A,vapB41,antitoxin VapB41,+,2929959,2930069,110,0.6
Rv2602,vapC41,ribonuclease VapC41,+,2930043,2930343,300,0.6266666666666667
Rv2603c,,transcriptional regulator,-,2931560,2931692,132,0.5757575757575758
Rv2606c,snzP,pyridoxine biosynthesis protein,-,2934070,2934197,127,0.6456692913385826
Rv2607,pdxH,pyridoxine/pyridoxamine 5'-phosphate oxidase,+,2934070,2934197,127,0.6456692913385826
Rv2608,PPE42,PPE family protein PPE42,+,2934872,2935045,173,0.630057803468208
Rv2614c,thrS,threonine--tRNA ligase,-,2943267,2943375,108,0.6203703703703703
Rv2614A,,hypothetical protein,+,2943267,2943375,108,0.6203703703703703
Rv2615c,PE_PGRS45,PE-PGRS family protein PE_PGRS45,-,2944985,2945285,300,0.63
Rv2616,,hypothetical protein,+,2945029,2945329,300,0.6433333333333333
Rv2617c,,transmembrane protein,-,2946287,2946433,146,0.5205479452054794
Rv2618,,hypothetical protein,+,2946287,2946433,146,0.5205479452054794
Rv2621c,,transcriptional regulator,-,2948558,2948635,77,0.5324675324675324
Rv2622,,methyltransferase,+,2948558,2948635,77,0.5324675324675324
Rv2623,TB31.7,universal stress protein,+,2949457,2949592,135,0.6296296296296297
Rv2625c,,zinc metalloprotease Rip3,-,2952503,2952561,58,0.6206896551724138
Rv2626c,hrp1,hypoxic response protein,-,2952993,2953293,300,0.61
Rv2627c,,hypothetical protein,-,2954748,2955048,300,0.67
Rv2628,,hypothetical protein,+,2954757,2955057,300,0.6733333333333333
Rv2629,,hypothetical protein,+,2955466,2955766,300,0.5366666666666666
Rv2631,,RNA-splicing ligase RtcB,+,2957432,2957571,139,0.5971223021582733
Rv2632c,,hypothetical protein,-,2959190,2959334,144,0.625
Rv2633c,,hypothetical protein,-,2959820,2960104,284,0.6267605633802817
Rv2637,dedA,transmembrane protein DedA,+,2963390,2963585,195,0.6358974358974359
Rv2638,,hypothetical protein,+,2964242,2964404,162,0.5493827160493827
Rv2639c,,integral membrane protein,-,2965358,2965477,119,0.6470588235294118
Rv2640c,,ArsR family transcriptional regulator,-,2965837,2965938,101,0.4752475247524752
Rv2641,cadI,cadmium inducible protein CadI,+,2965837,2965938,101,0.4752475247524752
Rv2642,,ArsR family transcriptional regulator,+,2966397,2966532,135,0.6370370370370371
Rv2644c,,hypothetical protein,-,2968850,2969150,300,0.6466666666666666
Rv2645,,hypothetical protein,+,2969822,2970122,300,0.6133333333333333
Rv2651c,,prophage protease,-,2975775,2975927,152,0.6381578947368421
Rv2653c,,toxin,-,2976909,2976988,79,0.5949367088607594
Rv2656c,,prophage protein,-,2979052,2979325,273,0.684981684981685
Rv2659c,,prophage integrase,-,2980818,2980962,144,0.5694444444444444
Rv2661c,,hypothetical protein,-,2981576,2981852,276,0.6159420289855072
Rv2662,,hypothetical protein,+,2981190,2981481,291,0.6907216494845361
Rv2663,,hypothetical protein,+,2981754,2981852,98,0.5714285714285714
Rv2665,,hypothetical protein,+,2982398,2982698,300,0.5766666666666667
Rv2667,clpC2,ATP-dependent protease ATP-binding subunit ClpC,+,2983595,2983895,300,0.7033333333333334
Rv2668,,hypothetical protein,+,2984654,2984732,78,0.7307692307692307
Rv2672,,protease,+,2987615,2987681,66,0.6818181818181818
Rv2674,msrB,peptide methionine sulfoxide reductase MsrB,+,2990592,2990705,113,0.7522123893805309
Rv2678c,hemE,uroporphyrinogen decarboxylase,-,2995062,2995114,52,0.6346153846153846
Rv2679,echA15,enoyl-CoA hydratase EchA15,+,2995062,2995114,52,0.6346153846153846
Rv2680,,hypothetical protein,+,2995945,2996104,159,0.6792452830188679
Rv2682c,dxs1,1-deoxy-D-xylulose 5-phosphate synthase,-,2999968,3000111,143,0.6293706293706294
Rv2683,,hypothetical protein,+,2999968,3000111,143,0.6293706293706294
Rv2685,arsB1,arsenic-transport integral membrane protein ArsB,+,3001903,3001982,79,0.6075949367088608
Rv2688c,,antibiotic ABC transporter ATP-binding protein,-,3005650,3005844,194,0.6185567010309279
Rv2689c,,hypothetical protein,-,3007062,3007235,173,0.7052023121387283
Rv2690c,,integral membrane protein,-,3009209,3009343,134,0.6417910447761194
Rv2691,ceoB,TRK system potassium uptake protein CeoB,+,3009209,3009343,134,0.6417910447761194
Rv2694c,,hypothetical protein,-,3011767,3011915,148,0.6081081081081081
Rv2695,,hypothetical protein,+,3011767,3011915,148,0.6081081081081081
Rv2696c,,hypothetical protein,-,3013608,3013682,74,0.7297297297297297
Rv2699c,,hypothetical protein,-,3014965,3015202,237,0.540084388185654
Rv2700,,hypothetical protein,+,3014965,3015202,237,0.540084388185654
Rv2701c,suhB,inositol-1-monophosphatase SuhB,-,3016735,3016857,122,0.6475409836065574
Rv2702,ppgK,polyphosphate glucokinase,+,3016735,3016857,122,0.6475409836065574
Rv2703,sigA,RNA polymerase sigma factor SigA,+,3017655,3017834,179,0.5754189944134078
Rv2705c,,hypothetical protein,-,3020203,3020503,300,0.6366666666666667
Rv2706c,,hypothetical protein,-,3020457,3020572,115,0.6086956521739131
Rv2707,,hypothetical protein,+,3020457,3020572,115,0.6086956521739131
Rv2710,sigB,RNA polymerase sigma factor SigB,+,3022285,3022460,175,0.5942857142857143
Rv2711,ideR,iron-dependent repressor and activator IdeR,+,3023432,3023564,132,0.6590909090909091
Rv2712c,,hypothetical protein,-,3025328,3025440,112,0.6071428571428571
Rv2713,sthA,pyridine nucleotide transhydrogenase,+,3025328,3025440,112,0.6071428571428571
Rv2714,,hypothetical protein,+,3026847,3027064,217,0.6405529953917051
Rv2715,,hydrolase,+,3028039,3028097,58,0.6724137931034483
Rv2717c,,hypothetical protein,-,3030361,3030412,51,0.7450980392156863
Rv2718c,nrdR,transcriptional regulator NrdR,-,3030877,3031039,162,0.6111111111111112
Rv2719c,,membrane protein,-,3031537,3031787,250,0.568
Rv2720,lexA,repressor LexA,+,3031537,3031787,250,0.568
Rv2724c,fadE20,acyl-CoA dehydrogenase FadE20,-,3037291,3037426,135,0.674074074074074
Rv2728c,,hypothetical protein,-,3041461,3041569,108,0.6296296296296297
Rv2729c,,integral membrane protein,-,3042475,3042541,66,0.5151515151515151
Rv2730,,hypothetical protein,+,3042475,3042541,66,0.5151515151515151
Rv2733c,,(dimethylallyl)adenosine tRNA methylthiotransferase,-,3046524,3046820,296,0.652027027027027
Rv2734,,hypothetical protein,+,3046524,3046820,296,0.652027027027027
Rv2737c,recA,recombinase A,-,3051424,3051724,300,0.6466666666666666
Rv2741,PE_PGRS47,PE-PGRS family protein PE_PGRS47,+,3053682,3053913,231,0.6277056277056277
Rv2742c,,hypothetical protein,-,3056348,3056419,71,0.6901408450704225
Rv2744c,35kd_ag,hypothetical protein,-,3058063,3058192,129,0.6434108527131783
Rv2745c,clgR,transcriptional regulator ClgR,-,3058531,3058601,70,0.6
Rv2753c,dapA,4-hydroxy-tetrahydrodipicolinate synthase,-,3067124,3067192,68,0.6911764705882353
Rv2754c,thyX,thymidylate synthase ThyX,-,3067945,3068245,300,0.64
Rv2756c,hsdM,type I restriction/modification system DNA methylase HsdM,-,3070083,3070169,86,0.6627906976744186
Rv2757c,vapC21,ribonuclease VapC21,-,3070586,3070874,288,0.6215277777777778
Rv2759c,vapC42,ribonuclease VapC42,-,3071270,3071545,275,0.6945454545454546
Rv2762c,,hypothetical protein,-,3073056,3073129,73,0.726027397260274
Rv2763c,dfrA,dihydrofolate reductase,-,3073609,3073679,70,0.6285714285714286
Rv2764c,thyA,thymidylate synthase ThyA,-,3074471,3074635,164,0.6829268292682927
Rv2765,,hydrolase,+,3074471,3074635,164,0.6829268292682927
Rv2767c,,membrane protein,-,3076720,3076893,173,0.7630057803468208
Rv2768c,PPE43,PPE family protein PPE43,-,3078078,3078157,79,0.5316455696202531
Rv2769c,PE27,PE family protein PE27,-,3078985,3079285,300,0.57
Rv2770c,PPE44,PPE family protein PPE44,-,3080457,3080580,123,0.6341463414634146
Rv2771c,,hypothetical protein,-,3081033,3081118,85,0.611764705882353
Rv2774c,,hypothetical protein,-,3082756,3082908,152,0.5723684210526315
Rv2775,,GCN5-like N-acetyltransferase,+,3082756,3082908,152,0.5723684210526315
Rv2776c,,oxidoreductase,-,3084303,3084484,181,0.6850828729281768
Rv2777c,,hypothetical protein,-,3085555,3085712,157,0.6369426751592356
Rv2779c,,Lrp/AsnC family transcriptional regulator,-,3086754,3086819,65,0.4153846153846154
Rv2780,ald,L-alanine dehydrogenase,+,3086754,3086819,65,0.4153846153846154
Rv2781c,,oxidoreductase,-,3088984,3089044,60,0.6833333333333333
Rv2783c,gpsI,bifunctional guanosine pentaphosphate synthetase/polyribonucleotide nucleotidyltransferase,-,3092597,3092897,300,0.6333333333333333
Rv2785c,rpsO,30S ribosomal protein S15,-,3093748,3093904,156,0.6153846153846154
Rv2786c,ribF,bifunctional riboflavin kinase /FMN adenylyltransferase,-,3094900,3095110,210,0.6761904761904762
Rv2787,,hypothetical protein,+,3094900,3095110,210,0.6761904761904762
Rv2788,sirR,transcriptional repressor SirR,+,3096874,3096958,84,0.6428571428571429
Rv2792c,,resolvase,-,3102162,3102363,201,0.6368159203980099
Rv2795c,,hypothetical protein,-,3104911,3105055,144,0.6041666666666666
Rv2798c,,hypothetical protein,-,3107637,3107767,130,0.5538461538461539
Rv2799,,membrane protein,+,3107637,3107767,130,0.5538461538461539
Rv2801c,mazF9,mRNA interferase MazF9,-,3110523,3110779,256,0.60546875
Rv2804c,,hypothetical protein,-,3113094,3113267,173,0.6763005780346821
Rv2807,,hypothetical protein,+,3113459,3113657,198,0.6464646464646465
Rv2808,,hypothetical protein,+,3114812,3115045,233,0.5836909871244635
Rv2809,,hypothetical protein,+,3115303,3115407,104,0.6346153846153846
Rv2811,,hypothetical protein,+,3115838,3116138,300,0.6666666666666666
Rv2812,,transposase,+,3116747,3116817,70,0.5857142857142857
Rv2818c,,CRISPR-associated protein Csm6,-,3126144,3126239,95,0.6105263157894737
Rv2824c,,CRISPR-associated endoribonuclease Cas6,-,3132714,3132891,177,0.6892655367231638
Rv2825c,,hypothetical protein,-,3133539,3133708,169,0.591715976331361
Rv2827c,,hypothetical protein,-,3135483,3135783,300,0.56
Rv2828c,,hypothetical protein,-,3136333,3136619,286,0.7482517482517482
Rv2829c,vapC22,ribonuclease VapC22,-,3137012,3137270,258,0.6085271317829457
Rv2835c,ugpA,sn-glycerol-3-phosphate ABC transporter permease UgpA,-,3142222,3142308,86,0.627906976744186
Rv2839c,infB,translation initiation factor IF-2,-,3147873,3147958,85,0.5882352941176471
Rv2840c,,hypothetical protein,-,3148258,3148384,126,0.6825396825396826
Rv2842c,,ribosome maturation factor RimP,-,3149976,3150170,194,0.634020618556701
Rv2843,,hypothetical protein,+,3149976,3150170,194,0.634020618556701
Rv2845c,proS,proline--tRNA ligase,-,3152950,3153038,88,0.6136363636363636
Rv2847c,cysG,multifunctional uroporphyrin-III C-methyltransferase/precorrin-2 oxidase/ferrochelatase,-,3155871,3156147,276,0.7463768115942029
Rv2851c,,GCN5-like N-acetyltransferase,-,3160521,3160579,58,0.7586206896551724
Rv2852c,mqo,malate:quinone oxidoreductase,-,3162061,3162267,206,0.6213592233009708
Rv2853,PE_PGRS48,PE-PGRS family protein PE_PGRS48,+,3162061,3162267,206,0.6213592233009708
Rv2856,nicT,nickel-transport integral membrane protein NicT,+,3166584,3166683,99,0.6565656565656566
Rv2860c,glnA4,glutamine synthetase,-,3173000,3173159,159,0.6352201257861635
Rv2862c,,hypothetical protein,-,3174643,3174746,103,0.5825242718446602
Rv2862A,vapB23,antitoxin VapB23,+,3174643,3174746,103,0.5825242718446602
Rv2863,vapC23,ribonuclease VapC23,+,3174691,3174991,300,0.6433333333333333
Rv2864c,,penicillin-binding lipoprotein,-,3177265,3177536,271,0.5830258302583026
Rv2865,relF,antitoxin RelF,+,3177265,3177536,271,0.5830258302583026
Rv2867c,,GCN5-like N-acetyltransferase,-,3179312,3179367,55,0.5454545454545454
Rv2870c,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,-,3183011,3183137,126,0.6031746031746031
Rv2871,vapB43,antitoxin VapB43,+,3183011,3183137,126,0.6031746031746031
Rv2872,vapC43,ribonuclease VapC43,+,3183081,3183381,300,0.64
Rv2873,mpt83,cell surface lipoprotein,+,3183825,3183904,79,0.6455696202531646
Rv2874,dipZ,integral membrane C-type cytochrome biogenesis protein DipZ,+,3184567,3184846,279,0.6774193548387096
Rv2875,mpt70,major secreted immunogenic protein Mpt70,+,3186934,3187029,95,0.6210526315789474
Rv2876,,transmembrane protein,+,3187611,3187662,51,0.7254901960784313
Rv2878c,mpt53,soluble secreted antigen Mpt53,-,3189397,3189697,300,0.6466666666666666
Rv2882c,frr,ribosome recycling factor,-,3192201,3192372,171,0.7076023391812866
Rv2883c,pyrH,uridylate kinase,-,3193158,3193392,234,0.6324786324786325
Rv2884,,transcriptional regulator,+,3193158,3193392,234,0.6324786324786325
Rv2890c,rpsB,30S ribosomal protein S2,-,3199982,3200265,283,0.6678445229681979
Rv2891,,hypothetical protein,+,3199982,3200265,283,0.6678445229681979
Rv2892c,PPE45,PPE family protein PPE45,-,3202020,3202320,300,0.6066666666666667
Rv2893,,oxidoreductase,+,3202119,3202419,300,0.6133333333333333
Rv2894c,xerC,tyrosine recombinase XerC,-,3204290,3204380,90,0.6777777777777778
Rv2898c,,hypothetical protein,-,3208328,3208575,247,0.6518218623481782
Rv2900c,fdhF,formate dehydrogenase subunit alpha FdhF,-,3211745,3211802,57,0.6842105263157895
Rv2901c,,hypothetical protein,-,3212108,3212161,53,0.6981132075471698
Rv2903c,lepB,signal peptidase,-,3213854,3213911,57,0.6491228070175439
Rv2904c,rplS,50S ribosomal protein L19,-,3214253,3214553,300,0.5966666666666667
Rv2905,lppW,lipoprotein LppW,+,3214327,3214627,300,0.58
Rv2909c,rpsP,30S ribosomal protein S16,-,3217643,3217826,183,0.6338797814207651
Rv2910c,,hypothetical protein,-,3218270,3218338,68,0.6764705882352942
Rv2911,dacB2,penicillin-binding protein DacB2,+,3218270,3218338,68,0.6764705882352942
Rv2913c,,D-amino acid aminohydrolase,-,3221698,3221766,68,0.6029411764705882
Rv2916c,ffh,signal recognition particle protein,-,3226285,3226362,77,0.6493506493506493
